,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-57419147.5,8747739.1,-22726349.4,-35374223.5
Tax Rate For Calcs,0.1525,0.3089,0.2038,0.2485
Normalized EBITDA,2068669000.0,1481329000.0,1760894000.0,1308885000.0
Total Unusual Items,-376519000.0,28319000.0,-111513000.0,-142351000.0
Total Unusual Items Excluding Goodwill,-376519000.0,28319000.0,-111513000.0,-142351000.0
Net Income From Continuing Operation Net Minority Interest,464914000.0,315476000.0,640570000.0,488587000.0
Reconciled Depreciation,646208000.0,541680000.0,408084000.0,341068000.0
Reconciled Cost Of Revenue,6837194000.0,7020888000.0,7130981000.0,6786648000.0
EBITDA,1692150000.0,1509648000.0,1649381000.0,1166534000.0
EBIT,1045942000.0,967968000.0,1241297000.0,825466000.0
Net Interest Income,-521366000.0,-666981000.0,-318336000.0,-188021000.0
Interest Expense,550364000.0,511504000.0,436745000.0,175297000.0
Interest Income,58106000.0,64422000.0,89826000.0,85586000.0
Normalized Income,784013852.5,295904739.1,729356650.6,595563776.5
Net Income From Continuing And Discontinued Operation,464914000.0,315476000.0,640570000.0,488587000.0
Total Expenses,6154850000.0,6898356000.0,6795168000.0,6666936000.0
Rent Expense Supplemental,17992000.0,,,
Diluted Average Shares,77855281.0,77855299.0,77855299.0,77855299.0
Basic Average Shares,77855281.0,77855299.0,77855299.0,77855299.0
Diluted EPS,3.6868,2.5018,8.2277,6.2756
Basic EPS,3.6868,2.5018,8.2277,6.2756
Diluted NI Availto Com Stockholders,464914000.0,315476000.0,640570000.0,488587000.0
Net Income Common Stockholders,464914000.0,315476000.0,640570000.0,488587000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,464914000.0,315476000.0,640570000.0,488587000.0
Net Income Including Noncontrolling Interests,464914000.0,315476000.0,640570000.0,488587000.0
Net Income Continuous Operations,464914000.0,315476000.0,640570000.0,488587000.0
Tax Provision,30664000.0,140988000.0,163982000.0,161582000.0
Pretax Income,495578000.0,456464000.0,804552000.0,650169000.0
Special Income Charges,-227468000.0,116946000.0,-75474000.0,-142351000.0
Other Special Charges,109694000.0,89871000.0,62419000.0,79373000.0
Write Off,117774000.0,-206817000.0,13055000.0,62978000.0
Net Non Operating Interest Income Expense,-521366000.0,-666981000.0,-318336000.0,-188021000.0
Total Other Finance Cost,29108000.0,219899000.0,-28583000.0,98310000.0
Interest Expense Non Operating,550364000.0,511504000.0,436745000.0,175297000.0
Interest Income Non Operating,58106000.0,64422000.0,89826000.0,85586000.0
Operating Income,1376625000.0,1053350000.0,1227339000.0,5387075000.0
Operating Expense,-682344000.0,-122532000.0,-335813000.0,-119712000.0
Other Operating Expenses,143157000.0,478627000.0,211859000.0,275878000.0
Depreciation And Amortization In Income Statement,21784000.0,16785000.0,26609000.0,8408000.0
Depreciation Income Statement,21784000.0,16785000.0,26609000.0,8408000.0
Research And Development,6982000.0,3539000.0,,
Selling General And Administration,89305000.0,60052000.0,68405000.0,54901000.0
Selling And Marketing Expense,17682000.0,25101000.0,9689000.0,10875000.0
General And Administrative Expense,71623000.0,34951000.0,58716000.0,44026000.0
Rent And Landing Fees,0.0,,,
Gross Profit,694281000.0,930818000.0,891526000.0,5267363000.0
Cost Of Revenue,6837194000.0,7020888000.0,7130981000.0,6786648000.0
Total Revenue,7531475000.0,7951706000.0,8022507000.0,12054011000.0
Operating Revenue,7531475000.0,7951706000.0,8022507000.0,12054011000.0
